rm,time
1546.3,2021-11-19T15:34:46.607+00:00
1574.5,2021-11-19T15:38:43.782+00:00
1604.1,2021-11-19T15:42:43.72+00:00
1606.0,2021-11-19T15:46:44.165+00:00
1605.6,2021-11-19T15:50:43.799+00:00
1595.0,2021-11-19T15:54:43.74+00:00
1587.8,2021-11-19T15:58:43.86+00:00
1573.3,2021-11-19T16:02:43.799+00:00
1576.0,2021-11-19T16:06:43.732+00:00
1570.8,2021-11-19T16:10:43.859+00:00
1572.2,2021-11-19T16:14:43.837+00:00
1573.4,2021-11-19T16:18:43.716+00:00
1586.8,2021-11-19T16:22:43.737+00:00
1606.7,2021-11-19T16:26:43.743+00:00
1602.2,2021-11-19T16:30:43.826+00:00
1603.3,2021-11-19T16:34:43.824+00:00
1600.1,2021-11-19T16:38:43.729+00:00
1586.8,2021-11-19T16:42:43.744+00:00
1574.1,2021-11-19T16:46:43.79+00:00
1581.1,2021-11-19T16:50:43.798+00:00
1580.9,2021-11-19T16:54:43.795+00:00
1584.7,2021-11-19T16:58:43.799+00:00
1591.4,2021-11-19T18:09:43.822+00:00
1583.3,2021-11-19T18:13:44.004+00:00
1569.7,2021-11-19T18:17:44.09+00:00
1576.4,2021-11-19T18:21:45.155+00:00
1571.8,2021-11-19T18:25:43.954+00:00
1572.7,2021-11-19T18:29:50.675+00:00
1577.9,2021-11-19T18:33:43.888+00:00
1583.2,2021-11-19T18:37:44.902+00:00
1580.1,2021-11-19T18:41:44.128+00:00
1577.2,2021-11-19T18:46:46.593+00:00
1584.3,2021-11-19T18:50:43.95+00:00
1576.7,2021-11-19T18:54:44.282+00:00
1576.7,2021-11-19T18:58:44.984+00:00
1579.8,2021-11-19T19:02:43.932+00:00
1577.1,2021-11-19T19:06:43.843+00:00
1562.3,2021-11-19T19:10:43.991+00:00
1552.1,2021-11-19T19:14:44.198+00:00
1535.9,2021-11-19T19:18:44.373+00:00
1541.6,2021-11-19T19:22:43.927+00:00
1557.6,2021-11-19T19:26:43.928+00:00
1560.8,2021-11-19T19:30:44.149+00:00
1559.3,2021-11-19T19:34:43.991+00:00
1548.2,2021-11-19T19:38:44.181+00:00
1543.4,2021-11-19T19:42:44.059+00:00
1535.4,2021-11-19T19:46:43.986+00:00
1545.4,2021-11-19T19:50:45.438+00:00
1554.1,2021-11-19T19:54:43.937+00:00
1560.9,2021-11-19T19:58:44.311+00:00
1560.4,2021-11-19T20:02:44.356+00:00
1577.3,2021-11-19T20:06:44.105+00:00
1580.8,2021-11-19T20:10:43.928+00:00
1574.6,2021-11-19T20:14:44.013+00:00
1572.1,2021-11-19T20:18:44.391+00:00
1587.8,2021-11-19T20:22:44.096+00:00
1570.4,2021-11-19T20:26:44.49+00:00
1555.9,2021-11-19T20:30:44.2+00:00
1554.0,2021-11-19T20:34:44.156+00:00
1560.5,2021-11-19T20:38:44.143+00:00
1557.0,2021-11-19T20:42:44.016+00:00
1537.8,2021-11-19T20:46:46.751+00:00
1549.2,2021-11-19T20:50:44.099+00:00
1574.7,2021-11-19T20:54:46.77+00:00
1574.9,2021-11-19T20:58:44.229+00:00
1552.7,2021-11-19T21:02:43.986+00:00
1544.4,2021-11-19T21:06:44.123+00:00
1547.7,2021-11-19T21:10:44.252+00:00
1561.2,2021-11-19T21:14:43.992+00:00
1560.9,2021-11-19T21:18:44.016+00:00
1568.6,2021-11-19T21:22:44.2+00:00
1580.3,2021-11-19T21:26:44.388+00:00
1584.3,2021-11-19T21:30:44.657+00:00
1545.1,2021-11-19T21:34:44.138+00:00
1544.7,2021-11-19T21:38:44.184+00:00
1562.2,2021-11-19T21:42:44.556+00:00
1574.6,2021-11-19T21:46:44.467+00:00
1580.9,2021-11-19T21:51:44.111+00:00
1590.5,2021-11-19T21:55:44.369+00:00
1565.6,2021-11-19T22:01:44.203+00:00
1568.9,2021-11-19T22:05:45.222+00:00
1542.0,2021-11-19T22:09:44.564+00:00
1545.3,2021-11-19T22:13:44.085+00:00
1539.8,2021-11-19T22:17:44.494+00:00
1536.5,2021-11-19T22:21:44.198+00:00
1546.1,2021-11-19T22:25:44.281+00:00
1534.5,2021-11-19T22:29:44.095+00:00
1551.5,2021-11-19T22:33:44.221+00:00
1566.5,2021-11-19T22:37:44.193+00:00
1580.7,2021-11-19T22:41:44.277+00:00
1570.7,2021-11-19T22:45:44.3+00:00
1558.4,2021-11-19T22:49:44.195+00:00
1559.9,2021-11-19T22:53:44.309+00:00
1562.9,2021-11-19T22:57:44.488+00:00
1571.2,2021-11-19T23:01:44.394+00:00
1567.9,2021-11-19T23:05:44.398+00:00
1585.9,2021-11-19T23:09:44.384+00:00
1575.8,2021-11-19T23:13:44.285+00:00
1571.7,2021-11-19T23:17:44.317+00:00
1566.7,2021-11-19T23:21:44.188+00:00
1562.6,2021-11-19T23:25:44.341+00:00
1561.5,2021-11-19T23:29:44.388+00:00
1555.7,2021-11-19T23:33:44.272+00:00
1549.9,2021-11-19T23:37:44.275+00:00
1546.8,2021-11-19T23:41:44.503+00:00
